"","ring","date","seeds","recs","pit","yr","sp","ring.info"
"423","p439051","2007-10-20",6,7,"02066E","2007","G","2007breeder"
"423.1","p439051","2007-10-21",20,21,"02066E","2007","G","2007breeder"
"423.2","p439051","2007-10-22",14,14,"02066E","2007","G","2007breeder"
"423.3","p439051","2007-10-23",26,27,"02066E","2007","G","2007breeder"
"423.4","p439051","2007-11-09",3,3,"02066E","2007","G","2007breeder"
"423.5","p439051","2007-11-11",16,16,"02066E","2007","G","2007breeder"
"423.6","p439051","2007-11-12",27,27,"02066E","2007","G","2007breeder"
"423.7","p439051","2007-11-13",13,14,"02066E","2007","G","2007breeder"
"423.8","p439051","2007-12-11",8,8,"02066E","2007","G","2007breeder"
"423.9","p439051","2007-12-12",18,19,"02066E","2007","G","2007breeder"
"423.10","p439051","2008-02-05",12,12,"02066E","2008","G","2007breeder"
"423.11","p439051","2008-02-06",1,1,"02066E","2008","G","2007breeder"
"423.12","p439051","2008-02-21",16,17,"02066E","2008","G","2007breeder"
"423.13","p439051","2008-02-22",16,18,"02066E","2008","G","2007breeder"
"357","n199387","2007-10-18",15,16,"0208AA","2007","G","2007breeder"
"357.1","n199387","2007-10-19",15,16,"0208AA","2007","G","2007breeder"
"357.2","n199387","2007-11-29",20,20,"0208AA","2007","G","2007breeder"
"357.3","n199387","2007-11-30",36,39,"0208AA","2007","G","2007breeder"
"357.4","n199387","2007-12-01",12,13,"0208AA","2007","G","2007breeder"
"357.5","n199387","2007-12-03",1,1,"0208AA","2007","G","2007breeder"
"357.6","n199387","2007-12-07",37,37,"0208AA","2007","G","2007breeder"
"357.7","n199387","2007-12-09",7,9,"0208AA","2007","G","2007breeder"
"357.8","n199387","2007-12-21",68,71,"0208AA","2007","G","2007breeder"
"357.9","n199387","2007-12-22",26,26,"0208AA","2007","G","2007breeder"
"357.10","n199387","2007-12-23",1,1,"0208AA","2007","G","2007breeder"
"357.11","n199387","2007-12-27",1,1,"0208AA","2007","G","2007breeder"
"357.12","n199387","2008-01-07",16,17,"0208AA","2008","G","2007breeder"
"357.13","n199387","2008-01-08",37,42,"0208AA","2008","G","2007breeder"
"357.14","n199387","2008-01-09",17,17,"0208AA","2008","G","2007breeder"
"357.15","n199387","2008-02-01",38,41,"0208AA","2008","G","2007breeder"
"357.16","n199387","2008-02-02",22,23,"0208AA","2008","G","2007breeder"
"357.17","n199387","2008-02-03",3,3,"0208AA","2008","G","2007breeder"
"357.18","n199387","2008-02-15",51,52,"0208AA","2008","G","2007breeder"
"357.19","n199387","2008-02-16",16,16,"0208AA","2008","G","2007breeder"
"357.20","n199387","2008-02-21",44,48,"0208AA","2008","G","2007breeder"
"357.21","n199387","2008-02-22",38,43,"0208AA","2008","G","2007breeder"
"357.22","n199387","2008-02-23",2,3,"0208AA","2008","G","2007breeder"
"357.23","n199387","2008-08-24",12,13,"0208AA","2008","G","2007breeder"
