"","ring","date","seeds","recs","season.yr","ringyr"
"1","e018488","2011-12-03",35,39,2011,"e018488 2012"
"2","e018488","2011-12-04",35,45,2011,"e018488 2012"
"3","e018488","2011-12-11",49,58,2011,"e018488 2012"
"4","e018488","2011-12-18",63,73,2011,"e018488 2012"
"5","e018488","2011-12-24",48,63,2011,"e018488 2012"
"6","e018488","2011-12-25",29,32,2011,"e018488 2012"
"7","e018488","2011-12-31",51,61,2011,"e018488 2012"
"8","e018488","2012-01-01",39,49,2011,"e018488 2012"
"9","e018488","2012-01-07",44,57,2011,"e018488 2012"
"10","e018488","2012-01-08",48,57,2011,"e018488 2012"
"11","e018488","2012-01-14",58,76,2011,"e018488 2012"
"12","e018488","2012-01-15",48,56,2011,"e018488 2012"
"13","e018488","2012-01-21",45,53,2011,"e018488 2012"
"14","e018488","2012-01-28",20,27,2011,"e018488 2012"
"15","e018488","2012-01-29",35,52,2011,"e018488 2012"
"16","e018488","2012-02-04",12,12,2011,"e018488 2012"
"17","e018488","2012-02-05",41,48,2011,"e018488 2012"
"18","e018488","2012-02-11",39,50,2011,"e018488 2012"
"19","e018488","2012-02-12",36,50,2011,"e018488 2012"
"20","e018488","2012-02-18",56,65,2011,"e018488 2012"
"21","e018488","2012-02-19",34,40,2011,"e018488 2012"
"22","e018488","2012-02-25",55,73,2011,"e018488 2012"
"23","e018488","2012-02-26",13,17,2011,"e018488 2012"
"24","e509370","2011-12-04",38,44,2011,"e509370 2012"
"25","e509370","2011-12-17",26,33,2011,"e509370 2012"
"26","e509370","2011-12-18",27,37,2011,"e509370 2012"
"27","e509370","2011-12-24",51,63,2011,"e509370 2012"
"28","e509370","2011-12-25",40,51,2011,"e509370 2012"
"29","e509370","2011-12-31",8,9,2011,"e509370 2012"
"30","e509370","2012-01-01",44,50,2011,"e509370 2012"
"31","e509370","2012-01-07",31,40,2011,"e509370 2012"
"32","e509370","2012-01-08",44,50,2011,"e509370 2012"
"33","e509370","2012-01-14",56,66,2011,"e509370 2012"
"34","e509370","2012-01-15",57,69,2011,"e509370 2012"
"35","e509370","2012-01-21",32,38,2011,"e509370 2012"
"36","e509370","2012-01-22",55,73,2011,"e509370 2012"
"37","e509370","2012-01-28",64,82,2011,"e509370 2012"
"38","e509370","2012-01-29",8,11,2011,"e509370 2012"
"39","e509370","2012-02-04",48,52,2011,"e509370 2012"
"40","e509370","2012-02-05",55,60,2011,"e509370 2012"
"41","e509370","2012-02-11",33,39,2011,"e509370 2012"
"42","e509370","2012-02-12",55,66,2011,"e509370 2012"
"43","e509370","2012-02-18",21,24,2011,"e509370 2012"
"44","e509370","2012-02-19",54,63,2011,"e509370 2012"
"45","e509370","2012-02-25",55,61,2011,"e509370 2012"
"46","e509370","2012-02-26",47,54,2011,"e509370 2012"
"47","e509388","2011-12-03",40,46,2011,"e509388 2012"
"48","e509388","2011-12-04",21,25,2011,"e509388 2012"
"49","e509388","2011-12-10",32,39,2011,"e509388 2012"
"50","e509388","2011-12-11",32,34,2011,"e509388 2012"
"51","e509388","2011-12-17",31,34,2011,"e509388 2012"
"52","e509388","2011-12-18",43,51,2011,"e509388 2012"
"53","e509388","2011-12-24",48,55,2011,"e509388 2012"
"54","e509388","2011-12-25",30,36,2011,"e509388 2012"
"55","e509388","2011-12-31",21,25,2011,"e509388 2012"
"56","e509388","2012-01-01",9,9,2011,"e509388 2012"
"57","e509388","2012-01-07",25,26,2011,"e509388 2012"
"58","e509388","2012-01-08",27,30,2011,"e509388 2012"
"59","e509388","2012-01-14",30,34,2011,"e509388 2012"
"60","e509388","2012-01-15",46,50,2011,"e509388 2012"
"61","e509388","2012-01-21",54,70,2011,"e509388 2012"
"62","e509388","2012-01-22",46,52,2011,"e509388 2012"
"63","e509388","2012-01-28",67,79,2011,"e509388 2012"
"64","e509388","2012-01-29",42,49,2011,"e509388 2012"
"65","e509388","2012-02-04",57,63,2011,"e509388 2012"
"66","e509388","2012-02-05",73,85,2011,"e509388 2012"
"67","e509388","2012-02-11",70,83,2011,"e509388 2012"
"68","e509388","2012-02-12",57,65,2011,"e509388 2012"
"69","e509388","2012-02-18",62,73,2011,"e509388 2012"
"70","e509388","2012-02-19",62,69,2011,"e509388 2012"
"71","e509388","2012-02-25",51,59,2011,"e509388 2012"
"72","e509388","2012-02-26",55,66,2011,"e509388 2012"
"73","e509399","2011-12-03",35,36,2011,"e509399 2012"
"74","e509399","2011-12-04",37,42,2011,"e509399 2012"
"75","e509399","2011-12-10",49,54,2011,"e509399 2012"
"76","e509399","2011-12-11",46,51,2011,"e509399 2012"
"77","e509399","2011-12-17",59,68,2011,"e509399 2012"
"78","e509399","2011-12-18",32,37,2011,"e509399 2012"
"79","e509399","2011-12-24",29,29,2011,"e509399 2012"
"80","e509399","2011-12-25",42,46,2011,"e509399 2012"
"81","e509399","2011-12-31",39,50,2011,"e509399 2012"
"82","e509399","2012-01-01",40,45,2011,"e509399 2012"
"83","e509399","2012-01-07",38,39,2011,"e509399 2012"
"84","e509399","2012-01-08",46,53,2011,"e509399 2012"
"85","e509399","2012-01-14",60,68,2011,"e509399 2012"
"86","e509399","2012-01-15",43,48,2011,"e509399 2012"
"87","e509399","2012-01-21",60,73,2011,"e509399 2012"
"88","e509399","2012-01-22",49,62,2011,"e509399 2012"
"89","e509399","2012-01-28",51,67,2011,"e509399 2012"
"90","e509399","2012-01-29",56,69,2011,"e509399 2012"
"91","e509399","2012-02-04",34,41,2011,"e509399 2012"
"92","f459758","2011-12-11",7,7,2011,"f459758 2012"
"93","f459758","2011-12-17",41,45,2011,"f459758 2012"
"94","f459758","2011-12-18",28,30,2011,"f459758 2012"
"95","f459758","2011-12-25",52,58,2011,"f459758 2012"
"96","f459758","2011-12-31",50,63,2011,"f459758 2012"
"97","f459758","2012-01-01",39,43,2011,"f459758 2012"
"98","f464559","2012-01-07",30,41,2011,"f464559 2012"
"99","f464559","2012-01-08",58,72,2011,"f464559 2012"
"100","f464559","2012-01-15",43,52,2011,"f464559 2012"
"101","f464559","2012-01-22",26,32,2011,"f464559 2012"
"102","f464559","2012-01-28",60,70,2011,"f464559 2012"
"103","f464559","2012-01-29",49,57,2011,"f464559 2012"
"104","f464559","2012-02-04",65,77,2011,"f464559 2012"
"105","f464559","2012-02-05",59,66,2011,"f464559 2012"
"106","f464559","2012-02-11",14,17,2011,"f464559 2012"
"107","f464559","2012-02-12",67,81,2011,"f464559 2012"
"108","h300220","2011-12-03",15,20,2011,"h300220 2012"
"109","h300220","2011-12-04",38,42,2011,"h300220 2012"
"110","h300220","2012-01-07",20,20,2011,"h300220 2012"
"111","h300220","2012-01-08",32,43,2011,"h300220 2012"
"112","h300220","2012-01-15",44,54,2011,"h300220 2012"
