ID,yrbirth,social_immigrant_status,male_bl,female_bl,male_bd,female_bd,bl,sex,yrbirth_centre
A007114,1982,immigrant,NA,13.4,NA,4.3,13.4,Female,-12.01285657
A007116,1982,immigrant,NA,13.6,NA,4.4,13.6,Female,-12.01285657
A007117,1982,immigrant,13.6,NA,4.65,NA,13.6,Male,-12.01285657
A007119,1982,immigrant,NA,13.5,NA,4.3,13.5,Female,-12.01285657
A007120,1982,immigrant,NA,14.3,NA,4.5,14.3,Female,-12.01285657
A007121,1982,immigrant,NA,13,NA,4.2,13,Female,-12.01285657
A007123,1982,immigrant,NA,13.3,NA,4.3,13.3,Female,-12.01285657
A007127,1982,immigrant,13.2,NA,4.6,NA,13.2,Male,-12.01285657
A007129,1982,immigrant,NA,13.95,NA,4.3,13.95,Female,-12.01285657
A007130,1982,immigrant,13.8,NA,4.5,NA,13.8,Male,-12.01285657
A007131,1982,immigrant,NA,13.5,NA,4.3,13.5,Female,-12.01285657
A007132,1982,immigrant,13.2,NA,4.4,NA,13.2,Male,-12.01285657
A007133,1982,immigrant,12.9,NA,4.5,NA,12.9,Male,-12.01285657
A007134,1982,immigrant,NA,13.3,NA,4.4,13.3,Female,-12.01285657
A007145,1982,immigrant,NA,13.2,NA,4.5,13.2,Female,-12.01285657
A007146,1982,immigrant,NA,13.9,NA,4.5,13.9,Female,-12.01285657
A007147,1982,immigrant,13.6,NA,4.6,NA,13.6,Male,-12.01285657
A007148,1982,immigrant,12.9,NA,4.5,NA,12.9,Male,-12.01285657
A007149,1982,immigrant,13.1,NA,4.4,NA,13.1,Male,-12.01285657
A007150,1982,immigrant,NA,13.05,NA,4.4,13.05,Female,-12.01285657
A722028,1982,immigrant,NA,13.75,NA,4.45,13.75,Female,-12.01285657
A725950,1982,immigrant,NA,13.15,NA,4.4,13.15,Female,-12.01285657
B067118,1982,immigrant,NA,13.9,NA,4.35,13.9,Female,-12.01285657
B067120,1982,immigrant,NA,12.9,NA,4.45,12.9,Female,-12.01285657
B067121,1982,immigrant,13.7,NA,4.5,NA,13.7,Male,-12.01285657
B067122,1982,immigrant,NA,13.7,NA,4.5,13.7,Female,-12.01285657
B067123,1982,immigrant,NA,13.3,NA,4.3,13.3,Female,-12.01285657
B067124,1982,immigrant,NA,13.6,NA,4.3,13.6,Female,-12.01285657
B067125,1982,immigrant,13.2,NA,4.5,NA,13.2,Male,-12.01285657
B067126,1982,immigrant,NA,13.7,NA,4.5,13.7,Female,-12.01285657
B067127,1982,immigrant,NA,13.6,NA,4.3,13.6,Female,-12.01285657
B067128,1982,immigrant,NA,13,NA,4.3,13,Female,-12.01285657
B067129,1982,immigrant,NA,13.8,NA,4.2,13.8,Female,-12.01285657
B067130,1982,immigrant,NA,13.6,NA,4.3,13.6,Female,-12.01285657
B067131,1982,immigrant,NA,13.5,NA,4.25,13.5,Female,-12.01285657
B067132,1982,immigrant,NA,13.3,NA,4.3,13.3,Female,-12.01285657
B067133,1982,immigrant,NA,13,NA,4.35,13,Female,-12.01285657
B067134,1982,immigrant,12.8,NA,4.7,NA,12.8,Male,-12.01285657
B067135,1982,immigrant,NA,14,NA,4.6,14,Female,-12.01285657
B067148,1982,immigrant,NA,13.05,NA,4.2,13.05,Female,-12.01285657
B067149,1982,immigrant,13.3,NA,4.6,NA,13.3,Male,-12.01285657
B067150,1982,immigrant,NA,13.4,NA,4.4,13.4,Female,-12.01285657
B067479,1982,immigrant,13.1,NA,4.45,NA,13.1,Male,-12.01285657
B067499,1982,immigrant,NA,13.6,NA,4.2,13.6,Female,-12.01285657
NE93701,1982,local,13.55,NA,4.55,NA,13.55,Male,-12.01285657
NE93706,1982,local,NA,13.9,NA,4.55,13.9,Female,-12.01285657
NE93707,1982,local,13,NA,4.5,NA,13,Male,-12.01285657
NE93709,1982,local,NA,13.7,NA,4.45,13.7,Female,-12.01285657
NE93747,1982,local,NA,13.2,NA,4.6,13.2,Female,-12.01285657
NE93805,1982,local,NA,13.1,NA,4.3,13.1,Female,-12.01285657
NE93815,1982,local,13.2,NA,4.7,NA,13.2,Male,-12.01285657
NE93818,1982,local,13.5,NA,4.7,NA,13.5,Male,-12.01285657
NE93820,1982,local,NA,14.3,NA,4.5,14.3,Female,-12.01285657
NE93836,1982,local,12.7,NA,4.6,NA,12.7,Male,-12.01285657
NE93838,1982,local,13.2,NA,4.6,NA,13.2,Male,-12.01285657
NE93841,1982,local,NA,13.5,NA,4.4,13.5,Female,-12.01285657
NE93842,1982,local,NA,13.3,NA,4.6,13.3,Female,-12.01285657
NE93853,1982,local,12.8,NA,4.7,NA,12.8,Male,-12.01285657
NE93864,1982,local,NA,14.2,NA,4.55,14.2,Female,-12.01285657
NE93865,1982,local,14,NA,4.75,NA,14,Male,-12.01285657
NE93871,1982,local,13.1,NA,4.55,NA,13.1,Male,-12.01285657
NE93874,1982,local,NA,13.2,NA,4.5,13.2,Female,-12.01285657
NE93879,1982,local,NA,12.85,NA,4.2,12.85,Female,-12.01285657
NE93881,1982,local,13.1,NA,4.9,NA,13.1,Male,-12.01285657
NE93885,1982,local,NA,12.9,NA,4.1,12.9,Female,-12.01285657
NE93888,1982,local,12.95,NA,4.5,NA,12.95,Male,-12.01285657
NE93894,1982,local,NA,13.5,NA,4.5,13.5,Female,-12.01285657
NE93911,1982,local,NA,13.1,NA,4.2,13.1,Female,-12.01285657
NE93915,1982,local,NA,13.8,NA,4.4,13.8,Female,-12.01285657
NE93916,1982,local,13.3,NA,4.6,NA,13.3,Male,-12.01285657
NE93919,1982,local,13.25,NA,4.5,NA,13.25,Male,-12.01285657
NE93920,1982,local,NA,13.7,NA,4.2,13.7,Female,-12.01285657
NE93923,1982,local,13.7,NA,4.6,NA,13.7,Male,-12.01285657
NE93935,1982,local,13.2,NA,4.65,NA,13.2,Male,-12.01285657
NE93968,1982,local,12.8,NA,4.5,NA,12.8,Male,-12.01285657
NE93986,1982,local,NA,13.4,NA,4.5,13.4,Female,-12.01285657
NE93994,1982,local,13.1,NA,4.3,NA,13.1,Male,-12.01285657
NE94000,1982,local,13.65,NA,4.5,NA,13.65,Male,-12.01285657
NE94374,1982,local,14,NA,4.7,NA,14,Male,-12.01285657
NE94424,1982,local,13.25,NA,4.5,NA,13.25,Male,-12.01285657
NE94456,1982,local,NA,14,NA,4.7,14,Female,-12.01285657
NE94487,1982,local,NA,13.3,NA,4.5,13.3,Female,-12.01285657
NE95639,1982,local,NA,12.85,NA,4.4,12.85,Female,-12.01285657
NE95658,1982,local,NA,13.25,NA,4.5,13.25,Female,-12.01285657
NE95661,1982,local,12.9,NA,4.4,NA,12.9,Male,-12.01285657
NE95665,1982,local,NA,13.6,NA,4.4,13.6,Female,-12.01285657
NE95666,1982,local,NA,13.2,NA,4.4,13.2,Female,-12.01285657
NE95671,1982,local,NA,13.85,NA,4.6,13.85,Female,-12.01285657
NE95673,1982,local,13.1,NA,4.5,NA,13.1,Male,-12.01285657
NE95679,1982,local,12.3,NA,4.5,NA,12.3,Male,-12.01285657
NE95705,1982,local,NA,13.4,NA,4.25,13.4,Female,-12.01285657
NE95715,1982,local,NA,13.3,NA,4.4,13.3,Female,-12.01285657
NE95716,1982,local,13.05,NA,4.6,NA,13.05,Male,-12.01285657
NE95717,1982,local,NA,13.45,NA,4.4,13.45,Female,-12.01285657
NE95720,1982,local,13.1,NA,4.5,NA,13.1,Male,-12.01285657
NE95727,1982,local,13.15,NA,4.6,NA,13.15,Male,-12.01285657
NE95735,1982,local,14.15,NA,4.5,NA,14.15,Male,-12.01285657
NE95737,1982,local,13.8,NA,4.6,NA,13.8,Male,-12.01285657
NE95740,1982,local,NA,13.8,NA,4.45,13.8,Female,-12.01285657
NE95748,1982,local,13.2,NA,4.5,NA,13.2,Male,-12.01285657
NE95766,1982,local,NA,13.1,NA,4.5,13.1,Female,-12.01285657
NE95782,1982,local,13.6,NA,4.7,NA,13.6,Male,-12.01285657
NE95783,1982,local,NA,13.2,NA,4.4,13.2,Female,-12.01285657
NE95791,1982,local,13.3,NA,4.5,NA,13.3,Male,-12.01285657
NE95792,1982,local,12.9,NA,4.4,NA,12.9,Male,-12.01285657
NE95801,1982,local,13.05,NA,4.6,NA,13.05,Male,-12.01285657
NE95809,1982,local,NA,13.2,NA,4.5,13.2,Female,-12.01285657
NE95816,1982,local,NA,14,NA,4.4,14,Female,-12.01285657
NE95818,1982,local,NA,14.3,NA,4.6,14.3,Female,-12.01285657
NE95823,1982,local,13.5,NA,4.7,NA,13.5,Male,-12.01285657
NE95844,1982,local,13.4,NA,4.7,NA,13.4,Male,-12.01285657
NE96179,1982,local,12.8,NA,4.6,NA,12.8,Male,-12.01285657
NE96227,1982,local,12.8,NA,4.6,NA,12.8,Male,-12.01285657
NE96253,1982,local,NA,14.15,NA,4.4,14.15,Female,-12.01285657
NE96294,1982,local,13.4,NA,4.4,NA,13.4,Male,-12.01285657
NE96300,1982,local,NA,13.55,NA,4.25,13.55,Female,-12.01285657
NE96332,1982,local,13.1,NA,4.45,NA,13.1,Male,-12.01285657
NE96333,1982,local,13,NA,4.35,NA,13,Male,-12.01285657
NE96357,1982,local,NA,13.6,NA,4.5,13.6,Female,-12.01285657
NE96375,1982,local,12.85,NA,4.5,NA,12.85,Male,-12.01285657
