RingNumber,IndividualID,GwasID,RoslinName
BD...27001,482556,3178,Titan_EG0035_10120VM_Plate1_A01.CEL
BD...27002,482557,3179,Titan_EG0035_10120VM_Plate1_B01.CEL
BD...27003,482558,3180,Titan_EG0035_10120VM_Plate1_C01.CEL
BD...27004,482559,3181,Titan_EG0035_10120VM_Plate1_D01.CEL
BD...27005,482560,3182,Titan_EG0035_10120VM_Plate1_E01.CEL
BD...27006,482561,3183,Titan_EG0035_10120VM_Plate1_F01.CEL
BD...27007,482562,3184,Titan_EG0035_10120VM_Plate1_G01.CEL
BD...27008,482563,3185,Titan_EG0035_10120VM_Plate1_H01.CEL
BD...27009,482564,3186,Titan_EG0035_10120VM_Plate1_A02.CEL
BD...27010,482565,3187,Titan_EG0035_10120VM_Plate1_B02.CEL
BD...27011,482566,3188,Titan_EG0035_10120VM_Plate1_C02.CEL
BD...27012,482580,3189,Titan_EG0035_10120VM_Plate1_D02.CEL
BD...27013,482581,3190,Titan_EG0035_10120VM_Plate1_E02.CEL
BD...27014,482582,3191,Titan_EG0035_10120VM_Plate1_F02.CEL
BD...27015,482583,3192,Titan_EG0035_10120VM_Plate1_G02.CEL
BD...27016,482584,3193,Titan_EG0035_10120VM_Plate1_H02.CEL
BD...27017,482585,3194,Titan_EG0035_10120VM_Plate1_A03.CEL
BD...27018,482586,3195,Titan_EG0035_10120VM_Plate1_B03.CEL
BD...27019,482587,3196,Titan_EG0035_10120VM_Plate1_C03.CEL
BD...27020,482588,3197,Titan_EG0035_10120VM_Plate1_D03.CEL
BD...27021,482589,3198,Titan_EG0035_10120VM_Plate1_E03.CEL
BD...27022,482590,3199,Titan_EG0035_10120VM_Plate1_F03.CEL
BD...27023,482591,3200,Titan_EG0035_10120VM_Plate1_G03.CEL
BD...27024,482592,3201,Titan_EG0035_10120VM_Plate1_H03.CEL
BD...27025,482593,3202,Titan_EG0035_10120VM_Plate1_A04.CEL
BD...27026,482594,3203,Titan_EG0035_10120VM_Plate1_B04.CEL
BD...27027,482595,3204,Titan_EG0035_10120VM_Plate1_C04.CEL
