AreaHapMap,GWASId,RingNumber,YearOfBreeding,BroodType,NoFledged,NoRecruits,Include
Buunderkamp,187,53V..27012,2013,0,5,0,1
Buunderkamp,187,53V..27012,2014,0,0,0,1
Westerheide,2720,AA...83246,1999,0,8,1,1
Westerheide,2720,AA...83246,2000,0,4,1,1
Warnsborn,2721,AA...83251,2000,0,9,0,1
Warnsborn,2721,AA...83251,2001,0,5,0,1
Warnsborn,2721,AA...83251,1999,0,8,0,1
Westerheide,2680,AA...83570,1999,0,0,0,0
Westerheide,2672,AA...83804,2000,0,4,1,1
Westerheide,2672,AA...83804,2001,0,8,0,1
Westerheide,322,AA...83923,2000,0,6,1,0
Westerheide,322,AA...83923,1999,0,0,0,0
Westerheide,322,AA...83923,1999,1,0,0,0
Westerheide,322,AA...83923,1999,1,0,0,0
Westerheide,324,AA...84378,1999,1,0,0,0
Westerheide,324,AA...84378,2000,0,6,0,0
Westerheide,324,AA...84378,1999,0,0,0,0
Westerheide,324,AA...84378,2001,0,0,0,1
Westerheide,1585,AA...84493,2001,0,7,0,1
Westerheide,310,AA...84513,2000,0,7,1,0
Westerheide,310,AA...84513,1999,0,5,0,1
Westerheide,310,AA...84513,2001,0,8,1,1
Westerheide,334,AA...84549,2000,0,8,1,0
Westerheide,335,AA...84550,2000,0,6,0,0
Westerheide,272,AA...84557,1999,0,0,0,0
Westerheide,272,AA...84557,2000,0,4,1,1
Westerheide,272,AA...84557,1999,1,0,0,1
Warnsborn,2581,AA...84763,2003,11,6,0,1
Warnsborn,2581,AA...84763,2002,1,0,0,0
Warnsborn,2581,AA...84763,2002,0,0,0,1
Warnsborn,2581,AA...84763,2004,0,0,0,1
Warnsborn,2581,AA...84763,2004,1,0,0,0
Warnsborn,2581,AA...84763,2001,0,6,1,1
Westerheide,283,AA...84799,2000,0,4,0,0
Hoge_Veluwe,339,AA...89294,1999,0,9,0,0
Hoge_Veluwe,343,AA...89904,1999,0,0,0,0
Hoge_Veluwe,343,AA...89904,1999,1,4,0,1
Hoge_Veluwe,2640,AA...90002,2001,0,10,1,1
Hoge_Veluwe,2640,AA...90002,2000,0,11,5,1
Hoge_Veluwe,2640,AA...90002,1999,0,10,0,0
Hoge_Veluwe,2608,AA...90132,1999,0,4,0,0
Hoge_Veluwe,3059,AA...90142,2001,0,6,2,1
Hoge_Veluwe,3059,AA...90142,1999,1,2,0,1
Hoge_Veluwe,3059,AA...90142,2000,0,8,1,1
Hoge_Veluwe,3059,AA...90142,2000,2,1,0,1
Hoge_Veluwe,2606,AA...90196,1999,0,10,0,0
Hoge_Veluwe,2606,AA...90196,2000,0,8,1,1
Hoge_Veluwe,2564,AA...90261,1999,0,0,0,1
Hoge_Veluwe,2557,AA...90311,2000,1,0,0,1
Hoge_Veluwe,2557,AA...90311,1999,0,0,0,1
Hoge_Veluwe,2557,AA...90311,2000,0,0,0,1
Hoge_Veluwe,2557,AA...90311,2001,0,0,0,1
Hoge_Veluwe,2557,AA...90311,2000,4,0,0,1
Hoge_Veluwe,2635,AA...90339,1999,0,7,0,0
Hoge_Veluwe,2696,AA...90606,1999,0,0,0,1
Hoge_Veluwe,2696,AA...90606,1999,1,0,0,1
Hoge_Veluwe,2697,AA...90609,1999,0,13,1,0
Hoge_Veluwe,2585,AA...90800,1999,0,8,0,0
Hoge_Veluwe,2579,AA...90928,2000,0,10,2,1
Hoge_Veluwe,2579,AA...90928,1999,0,7,0,1
Hoge_Veluwe,2595,AA...90965,2000,0,9,0,1
Oosterhout,2561,AA...92062,2001,0,9,0,0
Oosterhout,2561,AA...92062,2001,0,9,0,0
Oosterhout,282,AA...92126,2000,0,7,1,1
Oosterhout,282,AA...92126,2000,0,7,1,1
Oosterhout,282,AA...92126,2001,0,8,0,1
Oosterhout,282,AA...92126,2001,0,8,0,1
Buunderkamp,273,AA...92133,2001,0,8,0,1
Buunderkamp,387,AA...92134,2001,0,6,2,0
Buunderkamp,387,AA...92134,2002,0,11,0,0
Hoge_Veluwe,2593,AB...65049,2003,0,8,0,0
Hoge_Veluwe,2593,AB...65049,2001,0,5,1,1
Hoge_Veluwe,2593,AB...65049,2002,0,4,0,1
Hoge_Veluwe,2671,AB...65059,2001,0,5,0,1
Hoge_Veluwe,2671,AB...65059,2000,0,9,0,1
Hoge_Veluwe,2677,AB...65075,2000,0,9,0,1
Hoge_Veluwe,2556,AB...65187,2001,0,9,1,1
Hoge_Veluwe,2556,AB...65187,2000,0,9,0,1
Hoge_Veluwe,2627,AB...65271,2001,0,6,0,1
Hoge_Veluwe,2627,AB...65271,2000,0,9,2,1
Hoge_Veluwe,2627,AB...65271,2002,2,3,0,1
Hoge_Veluwe,2627,AB...65271,2000,2,6,0,1
Hoge_Veluwe,2627,AB...65271,2002,0,6,2,0
Hoge_Veluwe,2627,AB...65271,2003,0,12,0,1
Hoge_Veluwe,2700,AB...65503,2000,0,10,2,1
Buunderkamp,1630,AB...65963,2001,0,5,2,0
Buunderkamp,1628,AB...65966,2001,0,6,0,0
Buunderkamp,1151,AB...65987,2001,0,4,0,0
Hoge_Veluwe,1481,AB...66207,2004,0,9,3,1
Hoge_Veluwe,1481,AB...66207,2002,0,11,0,0
Hoge_Veluwe,1481,AB...66207,2005,11,10,0,1
Hoge_Veluwe,1481,AB...66207,2001,0,6,0,1
Buunderkamp,357,AB...66225,2006,0,8,0,1
Buunderkamp,358,AB...66246,2005,0,5,0,0
Buunderkamp,358,AB...66246,2004,0,0,0,1
Hoge_Veluwe,1417,AB...66345,2005,0,0,0,0
Hoge_Veluwe,1417,AB...66345,2004,0,10,2,1
Hoge_Veluwe,1480,AB...66668,2001,0,2,0,1
Hoge_Veluwe,1480,AB...66668,2000,0,10,1,1
Hoge_Veluwe,1480,AB...66668,2002,0,10,1,0
Hoge_Veluwe,1480,AB...66668,2003,0,8,0,1
Hoge_Veluwe,1480,AB...66668,2004,0,10,0,1
Hoge_Veluwe,1480,AB...66668,2005,0,0,0,1
Hoge_Veluwe,1479,AB...66814,2004,0,6,1,1
Hoge_Veluwe,1479,AB...66814,2003,0,7,0,0
Hoge_Veluwe,1479,AB...66814,2002,0,9,0,1
Hoge_Veluwe,1479,AB...66814,2001,0,8,0,1
Buunderkamp,368,AB...66878,2006,0,11,0,0
Hoge_Veluwe,1671,AB...66998,2006,0,0,0,0
Hoge_Veluwe,1671,AB...66998,2005,0,8,1,1
Hoge_Veluwe,1671,AB...66998,2006,1,4,0,1
Westerheide,3056,AB...76008,2000,0,7,0,0
Warnsborn,2637,AB...76015,2000,0,6,1,0
Westerheide,2662,AB...76039,2000,0,0,0,1
Westerheide,2662,AB...76039,2001,0,8,1,1
Westerheide,2598,AB...76078,2001,0,7,1,1
Westerheide,2598,AB...76078,2000,0,4,1,0
Westerheide,2598,AB...76078,2002,0,4,0,1
Warnsborn,336,AB...76140,1999,0,9,0,1
Warnsborn,336,AB...76140,2000,0,11,4,1
Warnsborn,336,AB...76140,2001,0,7,0,1
Westerheide,1741,AB...76317,2003,0,5,0,1
Westerheide,1741,AB...76317,1999,1,8,1,0
Westerheide,1741,AB...76317,2002,0,7,0,1
Westerheide,1741,AB...76317,2001,0,5,0,1
Westerheide,1741,AB...76317,2000,0,9,0,1
Westerheide,1741,AB...76317,1999,0,0,0,0
Westerheide,1559,AB...76373,2001,0,7,0,1
Westerheide,1544,AB...76374,2000,0,9,0,0
Westerheide,1544,AB...76374,2001,0,6,0,1
Hoge_Veluwe,2592,AB...76525,2000,0,3,1,1
Hoge_Veluwe,2592,AB...76525,2000,2,0,0,1
Warnsborn,2603,AB...76640,2003,0,2,0,1
Warnsborn,2603,AB...76640,2001,0,7,2,1
Warnsborn,2603,AB...76640,2002,0,6,2,1
Warnsborn,2604,AB...76641,2001,1,2,0,1
Warnsborn,2604,AB...76641,2001,0,0,0,1
Westerheide,2600,AB...76885,2001,0,0,0,0
Westerheide,319,AB...77249,2000,0,9,0,1
Westerheide,329,AB...77357,2000,0,6,0,0
Westerheide,329,AB...77357,2000,1,0,0,0
Warnsborn,1797,AB...77393,2000,0,4,0,1
Westerheide,183,AB...77460,2000,0,7,1,0
Westerheide,344,AB...77462,2001,0,7,0,1
Westerheide,344,AB...77462,2000,0,4,0,0
Westerheide,1745,AB...77470,2000,0,6,0,0
Westerheide,1622,AB...77496,2001,0,5,0,1
Westerheide,1622,AB...77496,2000,0,6,0,0
Westerheide,330,AB...77497,2000,0,7,0,0
Warnsborn,2641,AB...94212,2001,0,6,0,1
Hoge_Veluwe,1347,AC...08256,2005,0,5,0,1
Hoge_Veluwe,1347,AC...08256,2006,0,6,0,1
Westerheide,2715,AC...83441,2003,0,0,0,0
