Area,GWASId,RingNumber,RingYear,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Warnsborn,2558,F...588181,1994,,1,1,,,,,,,,,,,,,,,,,,,
Hoge_Veluwe,2613,F...616072,1994,,1,1,,,,,,,,,,,,,,,,,,,
Westerheide,2616,F...616119,1994,,1,1,,,,,,,,,,,,,,,,,,,
Hoge_Veluwe,398,F...591141,1994,1,1,1,1,1,,,,,,,,,,,,,,,,,
Hoge_Veluwe,2532,F...689041,1995,,,1,1,,,,,,,,,,,,,,,,,,
Hoge_Veluwe,305,F...771500,1995,,,1,1,1,1,,,,,,,,,,,,,,,,
Westerheide,2714,F...687719,1995,,,1,,,,,,,,,,,,,,,,,,,
Warnsborn,2713,F...687721,1995,,,1,,,,,,,,,,,,,,,,,,,
Westerheide,2628,F...687859,1995,,,1,1,1,,,,,,,,,,,,,,,,,
Warnsborn,2655,F...687846,1995,,,1,,,,,,,,,,,,,,,,,,,
Hoge_Veluwe,2554,F...689068,1995,,,1,1,,,,,,,,,,,,,,,,,,
Hoge_Veluwe,2553,F...689075,1995,,,1,,,,,,,,,,,,,,,,,,,
Hoge_Veluwe,2609,F...689089,1995,,,1,,,,,,,,,,,,,,,,,,,
Hoge_Veluwe,2633,F...689123,1995,,,1,,,,,,,,,,,,,,,,,,,
Hoge_Veluwe,2701,F...689173,1995,,,1,1,,,,,,,,,,,,,,,,,,
Hoge_Veluwe,2693,F...690651,1995,,,1,,,,,,,,,,,,,,,,,,,
Warnsborn,2656,F...687842,1995,,,1,1,,,,,,,,,,,,,,,,,,
Warnsborn,2657,F...689002,1995,,,1,,,,,,,,,,,,,,,,,,,
Oosterhout,390,F...497470,1995,,1,1,1,,,,,,,,,,,,,,,,,,
Oosterhout,2546,F...691327,1995,,,1,1,,,,,,,,,,,,,,,,,,
Oosterhout,2584,F...691411,1995,,,1,1,,,,,,,,,,,,,,,,,,
Hoge_Veluwe,2674,F...838840,1996,,,,1,1,1,,,,,,,,,,,,,,,,
Hoge_Veluwe,2658,F...692493,1996,,,,1,1,1,,,,,,,,,,,,,,,,
Westerheide,2638,F...836025,1996,,,,,1,1,1,1,,,,,,,,,,,,,,
Hoge_Veluwe,2647,F...799250,1996,,,,1,,,,,,,,,,,,,,,,,,
Hoge_Veluwe,2549,F...692892,1996,,,,1,,,,,,,,,,,,,,,,,,
Hoge_Veluwe,2709,F...692043,1996,,,,1,,,,,,,,,,,,,,,,,,
Oosterhout,2508,F...691546,1996,,,,1,1,1,,,,,,,,,,,,,,,,
Hoge_Veluwe,2651,F...800645,1997,,,,,1,1,,,,,,,,,,,,,,,,
Hoge_Veluwe,3060,F...800799,1997,,,,,1,1,1,1,,,,,,,,,,,,,,
Westerheide,331,F...827001,1997,,,,1,1,,1,,,,,,,,,,,,,,,
Westerheide,332,F...827820,1997,,,,1,1,1,1,,,,,,,,,,,,,,,
Westerheide,2559,F...972092,1997,,,,,1,1,1,1,,,,,,,,,,,,,,
Westerheide,333,F...827953,1997,,,,1,1,1,1,,,,,,,,,,,,,,,
Hoge_Veluwe,391,F...949996,1997,,,,1,,1,1,,,,,,,,,,,,,,,
Oosterhout,389,F...497326,1997,,,,1,,,,,,,,,,,,,,,,,,
Warnsborn,1779,F...974284,1997,,,,1,1,1,1,1,,,,,,,,,,,,,,
Westerheide,2691,F...974154,1997,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,
Warnsborn,1744,F...972001,1997,,,,1,1,1,1,,,,,,,,,,,,,,,
Hoge_Veluwe,2547,F...800772,1997,,,,,1,1,,,,,,,,,,,,,,,,
Hoge_Veluwe,2649,F...800755,1997,,,,,1,,,,,,,,,,,,,,,,,
Hoge_Veluwe,311,F...800909,1997,,,,1,1,1,,,,,,,,,,,,,,,,
Hoge_Veluwe,2706,F...800511,1997,,,,,1,,,,,,,,,,,,,,,,,
Hoge_Veluwe,306,F...800911,1997,,,,1,1,,,,,,,,,,,,,,,,,
Hoge_Veluwe,490,F...590916,1997,,,,1,1,1,,,,,,,,,,,,,,,,
Hoge_Veluwe,394,F...689829,1997,,,,1,1,1,1,1,1,1,,,,,,,,,,,,
Hoge_Veluwe,2625,F...800765,1997,,,,,1,1,1,,,,,,,,,,,,,,,
Hoge_Veluwe,395,F...802355,1998,,,,,1,,,,,,,,,,,,,,,,,
Hoge_Veluwe,397,F...800271,1998,,,,,1,1,,,,,,,,,,,,,,,,
Westerheide,491,F...973752,1998,,,,,,1,1,1,,,,,,,,,,,,,,
Hoge_Veluwe,386,F...802208,1998,,,,,1,1,1,,,,,,,,,,,,,,,
Hoge_Veluwe,307,F...801375,1998,,,,,1,1,,,,,,,,,,,,,,,,
Hoge_Veluwe,370,F...802258,1998,,,,,1,,,,,,,,,,,,,,,,,
Hoge_Veluwe,988,F...802255,1998,,,,,1,,,,,,,,,,,,,,,,,
Hoge_Veluwe,341,F...802259,1998,,,,,1,1,,,,,,,,,,,,,,,,
Westerheide,274,F...973737,1998,,,,,1,,1,,,,,,,,,,,,,,,
Buunderkamp,316,F...984659,1998,,,,,1,,,1,,,,,,,,,,,,,,
Hoge_Veluwe,302,F...802222,1998,,,,,1,,,,,,,,,,,,,,,,,
Hoge_Veluwe,396,F...802362,1998,,,,,1,1,,,,,,,,,,,,,,,,
Hoge_Veluwe,340,F...802363,1998,,,,,1,1,,,,,,,,,,,,,,,,
Buunderkamp,2575,F...984742,1998,,,,,,1,1,1,,1,,,,,,,,,,,,
Hoge_Veluwe,367,F...802371,1998,,,,,1,,,,,,,,,,,,,,,,,
Hoge_Veluwe,388,F...802507,1998,,,,,1,1,1,1,,,,,,,,,,,,,,
Hoge_Veluwe,281,F...802257,1998,,,,,1,1,1,1,1,,,,,,,,,,,,,
Hoge_Veluwe,318,F...802202,1998,,,,,1,,,,,,,,,,,,,,,,,
Hoge_Veluwe,338,F...802353,1998,,,,,1,,,,,,,,,,,,,,,,,
Hoge_Veluwe,2608,AA...90132,1998,,,,,,1,,,,,,,,,,,,,,,,
Hoge_Veluwe,2579,AA...90928,1998,,,,,,1,1,,,,,,,,,,,,,,,
Westerheide,2720,AA...83246,1998,,,,,,1,1,,,,,,,,,,,,,,,
Hoge_Veluwe,2585,AA...90800,1998,,,,,,1,,,,,,,,,,,,,,,,
Oosterhout,2561,AA...92062,1998,,,,,,,,1,,,,,,,,,,,,,,
Hoge_Veluwe,2697,AA...90609,1998,,,,,,1,,,,,,,,,,,,,,,,
Hoge_Veluwe,2696,AA...90606,1998,,,,,,1,,,,,,,,,,,,,,,,
Hoge_Veluwe,2635,AA...90339,1998,,,,,,1,,,,,,,,,,,,,,,,
Hoge_Veluwe,2557,AA...90311,1998,,,,,,1,1,1,,,,,,,,,,,,,,
Hoge_Veluwe,2564,AA...90261,1998,,,,,,1,,,,,,,,,,,,,,,,
Hoge_Veluwe,2595,AA...90965,1998,,,,,,,1,,,,,,,,,,,,,,,
Hoge_Veluwe,3059,AA...90142,1998,,,,,,1,1,1,,,,,,,,,,,,,,
Hoge_Veluwe,2640,AA...90002,1998,,,,,,1,1,1,,,,,,,,,,,,,,
Westerheide,1759,F...973993,1998,,,,,1,1,1,,,,,,,,,,,,,,,
Warnsborn,2721,AA...83251,1998,,,,,,1,1,1,,,,,,,,,,,,,,
Westerheide,519,F...973983,1998,,,,,,1,1,1,,,,,,,,,,,,,,
Hoge_Veluwe,309,F...801371,1998,,,,,1,1,,,,,,,,,,,,,,,,
Westerheide,324,AA...84378,1998,,,,,,1,1,1,,,,,,,,,,,,,,
Westerheide,1585,AA...84493,1998,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,2680,AA...83570,1998,,,,,,1,,,,,,,,,,,,,,,,
Hoge_Veluwe,2606,AA...90196,1998,,,,,,1,1,,,,,,,,,,,,,,,
Hoge_Veluwe,343,AA...89904,1999,,,,,,1,,,,,,,,,,,,,,,,
Hoge_Veluwe,345,F...802230,1999,,,,,,1,1,,,,,,,,,,,,,,,
Warnsborn,2581,AA...84763,1999,,,,,,,,1,1,1,1,,,,,,,,,,,
Westerheide,2598,AB...76078,1999,,,,,,,1,1,1,,,,,,,,,,,,,
Westerheide,2662,AB...76039,1999,,,,,,,1,1,,,,,,,,,,,,,,
Hoge_Veluwe,2627,AB...65271,1999,,,,,,,1,1,1,1,,,,,,,,,,,,
Westerheide,272,AA...84557,1999,,,,,,1,1,,,,,,,,,,,,,,,
Westerheide,3056,AB...76008,1999,,,,,,,1,,,,,,,,,,,,,,,
Westerheide,319,AB...77249,1999,,,,,,,1,,,,,,,,,,,,,,,
Westerheide,310,AA...84513,1999,,,,,,1,1,1,,,,,,,,,,,,,,
Hoge_Veluwe,2592,AB...76525,1999,,,,,,,1,,,,,,,,,,,,,,,
Warnsborn,1797,AB...77393,1999,,,,,,,1,,,,,,,,,,,,,,,
Westerheide,322,AA...83923,1999,,,,,,1,1,,,,,,,,,,,,,,,
Warnsborn,336,AB...76140,1999,,,,,,1,1,1,,,,,,,,,,,,,,
Hoge_Veluwe,2700,AB...65503,1999,,,,,,,1,,,,,,,,,,,,,,,
Hoge_Veluwe,2593,AB...65049,1999,,,,,,,,1,1,1,,,,,,,,,,,,
Hoge_Veluwe,2556,AB...65187,1999,,,,,,,1,1,,,,,,,,,,,,,,
Westerheide,2672,AA...83804,1999,,,,,,,1,1,,,,,,,,,,,,,,
Hoge_Veluwe,2677,AB...65075,1999,,,,,,,1,,,,,,,,,,,,,,,
Westerheide,329,AB...77357,1999,,,,,,,1,,,,,,,,,,,,,,,
Hoge_Veluwe,339,AA...89294,1999,,,,,,1,,,,,,,,,,,,,,,,
Warnsborn,2637,AB...76015,1999,,,,,,,1,,,,,,,,,,,,,,,
Hoge_Veluwe,2671,AB...65059,1999,,,,,,,1,1,,,,,,,,,,,,,,
Westerheide,1741,AB...76317,1999,,,,,,1,1,1,1,1,,,,,,,,,,,,
Westerheide,325,AC...97449,2000,,,,,,,,1,,,,,,,,,,,,,,
Oosterhout,2582,AC...97075,2000,,,,,,,,1,1,1,,,,,,,,,,,,
Westerheide,3053,AD...01057,2000,,,,,,,,1,,,,,,,,,,,,,,
Warnsborn,1644,AC...84468,2000,,,,,,,,1,,,,,,,,,,,,,,
Warnsborn,2603,AB...76640,2000,,,,,,,,1,1,1,,,,,,,,,,,,
Westerheide,283,AA...84799,2000,,,,,,,1,,,,,,,,,,,,,,,
Westerheide,315,AD...01992,2000,,,,,,,,1,,,,,,,,,,,,,,
Oosterhout,278,AC...97456,2000,,,,,,,,1,,,,,,,,,,,,,,
Warnsborn,1652,AC...84484,2000,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,2596,AD...01369,2000,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,299,AD...01872,2000,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,334,AA...84549,2000,,,,,,,1,,,,,,,,,,,,,,,
Westerheide,312,AD...01806,2000,,,,,,,,1,,,,,,,,,,,,,,
Hoge_Veluwe,2707,AC...85436,2000,,,,,,,,1,1,1,1,1,1,,,,,,,,,
Hoge_Veluwe,1480,AB...66668,2000,,,,,,,1,1,1,1,1,1,,,,,,,,,,
Oosterhout,317,AC...97451,2000,,,,,,,,1,1,,,,,,,,,,,,,
Buunderkamp,2607,AC...84031,2000,,,,,,,,,1,,,,,,,,,,,,,
Oosterhout,2551,AC...97201,2000,,,,,,,,1,1,1,1,,,,,,,,,,,
Westerheide,1682,AC...84475,2000,,,,,,,,1,,,,,,,,,,,,,,
Oosterhout,282,AA...92126,2000,,,,,,,1,1,,,,,,,,,,,,,,
Warnsborn,1615,AC...97438,2000,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,2566,AD...01164,2000,,,,,,,,1,,,,,,,,,,,,,,
Oosterhout,269,AC...97348,2000,,,,,,,1,1,,,,,,,,,,,,,,
Warnsborn,294,AD...01978,2000,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,2646,AD...01439,2000,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,279,AD...01980,2000,,,,,,,,1,,,,,,,,,,,,,,
Buunderkamp,387,AA...92134,2000,,,,,,,,1,1,,,,,,,,,,,,,
Westerheide,271,AD...01816,2000,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,328,AD...01828,2000,,,,,,,,,1,,,,,,,,,,,,,
Westerheide,300,AC...84495,2000,,,,,,,,1,,,,,,,,,,,,,,
Hoge_Veluwe,2668,AD...01377,2000,,,,,,,,1,1,,,,,,,,,,,,,
Westerheide,330,AB...77497,2000,,,,,,,1,,,,,,,,,,,,,,,
Westerheide,364,AD...01781,2000,,,,,,,,1,1,,,,,,,,,,,,,
Westerheide,2715,AC...83441,2000,,,,,,,,1,1,1,,,,,,,,,,,,
Warnsborn,2641,AB...94212,2000,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,1745,AB...77470,2000,,,,,,,1,,,,,,,,,,,,,,,
Westerheide,183,AB...77460,2000,,,,,,,1,,,,,,,,,,,,,,,
Westerheide,2600,AB...76885,2000,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,277,AD...01987,2000,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,344,AB...77462,2000,,,,,,,1,1,,,,,,,,,,,,,,
Westerheide,1699,AD...01784,2000,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,359,AC...97440,2000,,,,,,,,1,1,,,,,,,,,,,,,
Warnsborn,352,AC...84481,2000,,,,,,,,1,1,1,,,,,,,,,,,,
Westerheide,1559,AB...76373,2000,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,1544,AB...76374,2000,,,,,,,1,1,,,,,,,,,,,,,,
Westerheide,2711,F...972358,2000,,,,,,,,1,1,,,,,,,,,,,,,
Westerheide,362,AD...01197,2000,,,,,,,,1,1,,,,,,,,,,,,,
Warnsborn,2604,AB...76641,2000,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,335,AA...84550,2000,,,,,,,1,,,,,,,,,,,,,,,
Buunderkamp,1816,AC...84196,2000,,,,,,,,1,,,,,,,,,,,,,,
Warnsborn,2618,AD...01050,2000,,,,,,,,1,,,,,,,,,,,,,,
Warnsborn,321,AD...01977,2000,,,,,,,,1,,,,,,,,,,,,,,
Oosterhout,314,F...691484,2000,,,,,,,1,1,1,,,,,,,,,,,,,
Westerheide,1622,AB...77496,2000,,,,,,,1,1,,,,,,,,,,,,,,
Westerheide,292,AD...01780,2000,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,1766,AD...01765,2000,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,1679,AC...97430,2000,,,,,,,,1,1,1,1,,,,,,,,,,,
Warnsborn,1725,AD...01766,2000,,,,,,,,1,,,,,,,,,,,,,,
Warnsborn,1650,AC...84479,2000,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,1653,AC...84470,2000,,,,,,,,1,,,,,,,,,,,,,,
Buunderkamp,273,AA...92133,2000,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,1680,AC...97432,2000,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,1577,AC...84476,2000,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,2690,AD...01588,2000,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,270,AD...01782,2000,,,,,,,,1,,,,,,,,,,,,,,
Oosterhout,2753,F...691782,2000,,,,,,,1,,,,,,,,,,,,,,,
Buunderkamp,409,F...497198,2001,,,,,,,,,1,,,,,,,,,,,,,
Oosterhout,1343,AC...97848,2001,,,,,,,,1,1,1,,,,,,,,,,,,
Warnsborn,2694,AD...99801,2001,,,,,,,,,1,,,,,,,,,,,,,
Oosterhout,1344,AC...97554,2001,,,,,,,,1,,1,1,1,,,,,,,,,,
Oosterhout,280,AC...97520,2001,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,276,AD...01923,2001,,,,,,,,1,,,,,,,,,,,,,,
Hoge_Veluwe,1481,AB...66207,2001,,,,,,,,1,1,,1,1,,,,,,,,,,
Buunderkamp,1628,AB...65966,2001,,,,,,,,1,,,,,,,,,,,,,,
Westerheide,489,AD...01998,2001,,,,,,,,1,,,,,,,,,,,,,,
Buunderkamp,1630,AB...65963,2001,,,,,,,,1,,,,,,,,,,,,,,
Oosterhout,2599,AC...97592,2001,,,,,,,,,1,1,,1,1,1,1,,,,,,,
Hoge_Veluwe,1479,AB...66814,2001,,,,,,,,1,1,1,1,,,,,,,,,,,
Oosterhout,492,AC...97477,2001,,,,,,,,1,1,1,1,,,,,,,,,,,
Buunderkamp,1223,AE...17035,2001,,,,,,,,1,1,,,,,,,,,,,,,
Hoge_Veluwe,2695,AE...02545,2001,,,,,,,,,1,1,1,,,,,,,,,,,
Warnsborn,1345,AE...18067,2001,,,,,,,,,,1,1,,,,,,,,,,,
Buunderkamp,2580,AE...16510,2001,,,,,,,,,1,1,,,,,,,,,,,,
Buunderkamp,1136,AC...86726,2001,,,,,,,,1,1,1,,,,,,,,,,,,
Westerheide,284,AD...01906,2001,,,,,,,,1,,,,,,,,,,,,,,
Buunderkamp,313,F...497199,2001,,,,,,,,,1,,,,,,,,,,,,,
Oosterhout,327,AC...97545,2001,,,,,,,,1,,,,,,,,,,,,,,
Oosterhout,1360,AC...97528,2001,,,,,,,,1,1,1,1,1,,,,,,,,,,
Westerheide,363,AE...13164,2001,,,,,,,,1,1,1,,,,,,,,,,,,
Buunderkamp,1405,AC...86727,2001,,,,,,,,1,1,1,,,,,,,,,,,,
Westerheide,1486,AE...18061,2001,,,,,,,,,1,,1,,,,,,,,,,,
Westerheide,1484,AE...18263,2001,,,,,,,,,1,1,,,,,,,,,,,,
Oosterhout,2562,AC...97806,2001,,,,,,,,,1,1,1,1,,,,,,,,,,
Warnsborn,1655,AE...18107,2001,,,,,,,,,1,,,,,,,,,,,,,
Buunderkamp,2574,AE...16572,2001,,,,,,,,,,1,,,,,,,,,,,,
Buunderkamp,1151,AB...65987,2001,,,,,,,,1,,,,,,,,,,,,,,
Warnsborn,1786,AD...99663,2001,,,,,,,,1,1,1,,,,,,,,,,,,
Westerheide,1502,AE...18349,2002,,,,,,,,,1,1,,,,,,,,,,,,
Warnsborn,1495,AD...99875,2002,,,,,,,,,1,,,,,,,,,,,,,
Hoge_Veluwe,2682,AE...27171,2002,,,,,,,,,,1,1,,,,,,,,,,,
Hoge_Veluwe,2619,AE...27122,2002,,,,,,,,,,1,1,,,,,,,,,,,
Hoge_Veluwe,2589,AE...27161,2002,,,,,,,,,,1,1,1,,,,,,,,,,
Hoge_Veluwe,2681,AE...27175,2002,,,,,,,,,,1,1,,,,,,,,,,,
Westerheide,1520,AF...09362,2002,,,,,,,,,,,1,,,,,,,,,,,
Hoge_Veluwe,2683,AE...27184,2002,,,,,,,,,,1,1,,,,,,,,,,,
Oosterhout,1501,AF...07915,2002,,,,,,,,,1,,,,,,,,,,,,,
Westerheide,1497,AD...16800,2002,,,,,,,,,,1,,,,,,,,,,,,
Warnsborn,1316,AE...18950,2002,,,,,,,,,1,1,,,,,,,,,,,,
Westerheide,1499,AF...09221,2002,,,,,,,,,1,,1,,,,,,,,,,,
Buunderkamp,357,AB...66225,2002,,,,,,,,,,,,,1,,,,,,,,,
Westerheide,2550,AF...09091,2002,,,,,,,,,,1,,,,,,,,,,,,
Buunderkamp,1612,AE...17185,2002,,,,,,,,,1,,,,,,,,,,,,,
Westerheide,2716,AF...08049,2002,,,,,,,,,,1,,,,,,,,,,,,
Westerheide,1788,AE...18140,2002,,,,,,,,,1,1,1,1,,,,,,,,,,
Westerheide,2529,AE...18797,2002,,,,,,,,,,1,,,,,,,,,,,,
Westerheide,1684,AE...18285,2002,,,,,,,,,1,1,,,,,,,,,,,,
