id,pnum,origin_pnum,site,grid_ref,date_time,initials,retrap,age,sex,bto_species_code,bto_ring,pit_tag,weight,wing_length,tarsus_length,tarsus_length_method,bill_length,bill_length_method,bill_depth,bill_depth_method,pox_description,pectoral_muscle,leg_condition_description,tick_description,fat,moult_description,comment,feather,source_file,dup_pulli,missing_date_time,dup_date_time_bto_ring,diff_pnum_site_to_site,rescaled_morphometrics,updated_species_code,legacy_brood_id,breaststripe1,breaststripe2
37552,,,B20,SP4608,16/09/2004 13:15,MW,N,3,F,GRETI,A225307,,16.8,72,19.3,S,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
37621,,,B20,SP4608,04/11/2004 10:00,KJ,R,3,F,GRETI,A225307,,16.2,72,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
38561,,,LMAR,SP4608,02/02/2005 00:00,BS,R,5,F,GRETI,A225307,,17,73,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
38585,,,LMAR,SP4608,03/02/2005 00:00,SP,R,5,F,GRETI,A225307,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
38755,,,LMAR,SP4608,10/02/2005 00:00,SP,R,5,F,GRETI,A225307,,16.5,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
256606,20051MP6,,MP6,,21/05/2005 09:00,ingres,r,5,F,GRETI,A225307,,17.5,72,19.6,,,,,,,0,,,0,0OGC,,,"sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,1,,,
38300,,,B20,SP4608,29/12/2004 10:00,AM,N,3,M,GRETI,A225384,,18,76,21,S,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
38648,,,MP,SP4608,04/02/2005 00:00,SP,R,5,M,GRETI,A225384,,19.1,76,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
38795,,,MP,SP4608,12/02/2005 00:00,SP,R,5,M,GRETI,A225384,,18.9,,,,,,,,,,,,,,age correction,,CAM_94-2013_IMPR.csv,,,,,,,,,
38389,,,BP34,SP4608,17/01/2005 12:00,SP,N,4,M,GRETI,A225412,,18.5,79,20.8,S,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
38801,,,MP,SP4608,14/02/2005 00:00,SP,R,5,M,GRETI,A225412,,18.7,79,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
38403,,,BP34,SP4608,17/01/2005 13:00,SP,N,5,F,GRETI,A225416,,18.2,74,19.1,S,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
