id	sex	line	ld_aver	bill_wid	bill_len	tarsus
5279	0	No	NA	3.96	8.47	-0.636545914
191392	0	No	NA	4.09	8.95	-1.084173952
5523	0	No	NA	4.34	8.73	0.163454086
161408	0	No	NA	4.19	9.12	0.115826048
161510	0	No	NA	3.62	9.78	-0.588026347
239874	0	No	NA	4.04	8.49	0.540934692
151508	0	No	5.3	3.96	11.22	0.483267038
419151	0	F1	NA	3.82	8.06	-0.373971613
419155	0	F1	NA	3.58	8.45	0.099704356
419156	0	F1	NA	2.97	7.37	-0.200295644
419718	0	F1	NA	3.42	7.21	0.726028387
419719	0	F1	NA	3.79	7.58	0.626028387
419721	0	F1	NA	3.71	7.32	-0.573971613
419157	0	F1	NA	3.15	7.76	0.399704356
419158	0	F1	NA	3.23	7.07	0.726028387
419160	0	F1	NA	3.62	7.5	0.026028387
419162	0	F1	NA	3.58	8.19	0.799704356
419163	0	F1	NA	3.99	7.84	0.426028387
419164	0	F1	NA	3.42	7.57	-0.500295644
419171	0	F1	NA	4.72	8.21	-1.073971613
419173	0	F1	NA	3.67	6.62	-0.473971613
419174	0	F1	NA	3.32	7.34	-0.773971613
419175	0	F1	NA	4.01	8.07	-0.573971613
419176	0	F1	NA	3.5	7.54	-0.400295644
419188	0	F1	NA	3.63	7.49	-1.000295644
419189	0	F1	NA	3.57	7.81	-1.100295644
419195	0	F1	NA	4.69	8.29	-1.600295644
419177	0	F1	NA	3.91	7.67	-0.400295644
419179	0	F1	NA	3.94	7.97	-0.200295644
419180	0	F1	NA	4.41	8.41	-0.700295644
419182	0	F1	NA	3.53	7.32	-0.600295644
419183	0	F1	NA	3.65	7.83	0.399704356
419196	0	F1	NA	3.97	7.43	0.599704356
419198	0	F1	NA	3.59	7.44	0.299704356
419201	0	F1	NA	4.39	9.26	0.899704356
419208	0	F1	NA	3.49	7.95	-0.300295644
419209	0	F1	NA	3.81	8.1	-0.700295644
419210	0	F1	NA	3.85	8.09	-0.600295644
419212	0	F1	NA	4	8.49	0.199704356
419214	0	F1	NA	3.63	7.58	-0.100295644
419215	0	F1	NA	4.31	7.52	0.799704356
419217	0	F1	NA	3.63	7.99	-0.173971613
419218	0	F1	NA	3.34	7.61	0.926028387
419219	0	F1	NA	3.24	7.47	-0.000295644
419220	0	F1	NA	3.87	7.7	0.599704356
419222	0	F1	NA	3.46	7.77	0.399704356
419224	0	F1	NA	3.51	7.9	-0.973971613
419225	0	F1	NA	3.14	6.93	-1.200295644
419226	0	F1	NA	3.57	8.13	-0.500295644
419227	0	F1	NA	3.68	7.24	-1.100295644
419228	0	F1	NA	3.92	7.51	-0.400295644
419229	0	F1	NA	3.92	8.28	0.099704356
419231	0	F1	NA	3.95	8.02	-0.773971613
419235	0	F1	NA	3.18	8.5	-0.300295644
419236	0	F1	NA	4.37	8.1	-0.700295644
419237	0	F1	NA	3.66	8.01	-0.100295644
419238	0	F1	NA	3.68	7.38	0.199704356
419646	0	F1	NA	3.83	8.46	0.099704356
419647	0	F1	NA	3.57	7.52	0.626028387
419648	0	F1	NA	3.71	7.79	0.199704356
419650	0	F1	NA	4.04	7.73	0.199704356
419651	0	F1	NA	3.53	7.12	1.226028387
419653	0	F1	NA	3.77	8.37	0.099704356
419659	0	F1	NA	3.7	8	0.399704356
419662	0	F1	NA	3.67	8.12	0.799704356
419665	0	F1	NA	4.11	7.78	1.026028387
419666	0	F1	NA	3.58	7.66	0.326028387
419667	0	F1	NA	3.42	8.27	-0.473971613
419668	0	F1	NA	3.59	8.87	0.026028387
419671	0	F1	NA	3.51	7.78	-0.800295644
419672	0	F1	NA	3.81	7.78	0.126028387
419676	0	F1	NA	3.25	7.11	-0.473971613
419682	0	F1	NA	3.49	7.58	-0.300295644
419683	0	F1	NA	3.57	7.68	-0.173971613
419684	0	F1	NA	3.72	8.15	-0.173971613
419685	0	F1	NA	4.1	8.36	1.026028387
419689	0	F1	NA	3.68	7.65	-0.273971613
419691	0	F1	NA	3.69	7.06	-0.500295644
419696	0	F1	NA	3.31	7.07	0.226028387
419697	0	F1	NA	3.53	7.93	-0.300295644
419698	0	F1	NA	3.6	7.8	-0.673971613
419699	0	F1	NA	3.47	8.9	-0.073971613
419701	0	F1	NA	4.01	8.14	1.026028387
419704	0	F1	NA	3.94	7.83	0.226028387
419705	0	F1	NA	3.56	7.47	-0.473971613
419706	0	F1	NA	3.32	6.92	-0.173971613
419709	0	F1	NA	3.39	7.48	0.199704356
419712	0	F1	NA	3.63	7.19	-0.273971613
419724	0	F1	NA	3.53	8.41	0.226028387
419725	0	F1	NA	4.65	8.47	0.426028387
419727	0	F1	NA	4.02	8.43	-0.373971613
482556	0	F2	NA	4.2	7.75	NA
482564	0	F2	NA	4.1	9.05	NA
482585	0	F2	NA	4.1	8.41	NA
482611	0	F2	NA	3.45	8.48	NA
482619	0	F2	NA	4.6	8.79	NA
482641	0	F2	NA	4.24	8.51	NA
482651	0	F2	NA	4.89	8.76	NA
482659	0	F2	NA	3.52	NA	NA
482668	0	F2	NA	4.06	8.76	NA
482676	0	F2	NA	3.84	8.94	NA
482557	0	F2	NA	3.67	9.17	NA
482565	0	F2	NA	4.53	8.48	NA
482586	0	F2	NA	4.13	9.28	NA
482594	0	F2	NA	3.67	9.07	NA
482602	0	F2	NA	4.56	9.2	NA
482612	0	F2	NA	3.58	7.96	NA
482620	0	F2	NA	4.03	8.85	NA
482642	0	F2	NA	3.95	9.08	NA
482652	0	F2	NA	3.93	8.56	NA
482660	0	F2	NA	3.74	8.64	NA
482669	0	F2	NA	3.86	8.42	NA
482677	0	F2	NA	4.28	8.88	NA
482558	0	F2	NA	4.39	8.65	NA
482566	0	F2	NA	3.78	8.45	NA
482587	0	F2	NA	3.81	8.87	NA
482595	0	F2	NA	5.11	8.85	NA
482603	0	F2	NA	4.03	9.06	NA
482613	0	F2	NA	3.84	8.5	NA
482621	0	F2	NA	3.61	9.14	NA
